parent,relation,child
35,inheritance,1134
35,inheritance,412
350,using,496
350,using,1046
351,causative_of,122
351,using,926
360,inheritance,883
361,using,1139
361,see_also,635
364,using,406
364,causative_of,285
366,using,72
366,using,220
370,using,358
371,using,803
372,precedes,1132
376,using,687
376,using,848
376,using,850
376,using,884
379,inheritance,87
380,precedes,575
380,inheritance,1161
383,causative_of,824
384,inheritance,316
385,using,586
385,causative_of,586
386,using,383
390,inheritance,395
390,inheritance,388
390,inheritance,123
390,inheritance,482
390,inheritance,696
390,inheritance,717
390,inheritance,656
390,inheritance,398
390,inheritance,273
390,inheritance,272
390,inheritance,791
390,using,586
390,inheritance,1098
390,inheritance,1099
390,inheritance,1156
390,subframe,1029
390,inheritance,1181
390,inheritance,1414
390,inheritance,1426
390,inheritance,1427
390,inheritance,1431
390,inheritance,505
390,inheritance,1441
390,inheritance,232
390,inheritance,1478
390,inheritance,144
390,inheritance,97
390,inheritance,1566
397,inheritance,381
397,inheritance,1035
402,using,345
403,using,542
403,inheritance,665
403,using,670
403,using,543
403,using,764
403,inheritance,838
417,using,559
417,using,516
417,using,590
417,using,608
417,using,1145
422,inheritance,532
422,causative_of,638
431,using,680
433,inheritance,202
433,causative_of,47
433,using,801
434,using,436
435,using,560
435,inheritance,311
437,causative_of,691
442,causative_of,567
442,using,701
442,using,630
442,inheritance,444
442,inheritance,796
442,inheritance,577
454,inheritance,981
454,inchoative_of,94
454,inheritance,991
476,using,477
476,inheritance,660
48,inheritance,872
48,inheritance,1093
483,using,213
483,inheritance,851
483,inheritance,859
485,inheritance,864
485,inheritance,992
485,inheritance,1452
485,inheritance,1453
485,inheritance,300
485,inheritance,1459
485,inheritance,503
485,inheritance,486
485,inheritance,1465
485,inheritance,623
486,inheritance,487
486,inheritance,491
486,inheritance,517
486,using,715
486,inheritance,725
486,using,845
486,inheritance,96
486,inheritance,959
486,see_also,99
486,inheritance,1019
486,inheritance,73
486,inheritance,1000
486,inheritance,1472
489,inheritance,490
490,inheritance,510
5,inheritance,565
5,inheritance,458
5,inheritance,281
5,inheritance,529
5,inheritance,387
5,inheritance,159
5,perspective_on,203
5,perspective_on,204
5,inheritance,403
5,inheritance,479
5,using,1111
5,using,546
5,inheritance,1164
5,inheritance,978
50,using,1068
503,inheritance,486
503,inheritance,191
503,inheritance,601
503,inheritance,625
503,inheritance,651
503,inheritance,693
503,inheritance,721
503,inheritance,340
503,inheritance,716
503,inheritance,88
503,inheritance,670
503,inheritance,403
503,inheritance,498
503,inheritance,345
503,inheritance,392
503,inheritance,79
503,inheritance,103
503,inheritance,326
503,inheritance,211
503,inheritance,143
503,inheritance,192
503,inheritance,339
503,inheritance,685
503,inheritance,760
503,inheritance,129
503,inheritance,347
503,inheritance,363
503,inheritance,332
503,inheritance,246
503,inheritance,453
503,inheritance,74
503,inheritance,220
503,inheritance,488
503,inheritance,683
503,using,371
503,inheritance,792
503,inheritance,304
503,inheritance,318
503,using,703
503,inheritance,831
503,inheritance,809
503,inheritance,997
503,inheritance,1018
503,inheritance,1140
503,inheritance,1148
503,inheritance,1150
503,inheritance,1152
503,inheritance,1025
503,inheritance,1043
503,inheritance,1467
503,inheritance,215
503,inheritance,691
503,inheritance,310
503,inheritance,1488
503,inheritance,1117
504,using,1033
51,inheritance,248
51,precedes,48
51,using,746
51,inheritance,873
511,using,540
511,using,1112
512,using,372
520,causative_of,133
520,causative_of,556
528,inheritance,806
528,inheritance,6
528,perspective_on,1
53,causative_of,220
533,using,536
533,inheritance,446
538,causative_of,566
541,see_also,101
541,inchoative_of,589
543,see_also,497
544,using,390
544,inheritance,664
544,using,453
544,inheritance,265
544,inheritance,972
544,inheritance,1056
546,using,674
547,using,1057
55,using,610
551,causative_of,208
553,inheritance,1010
556,using,714
557,precedes,148
558,using,635
558,using,488
56,see_also,57
56,see_also,53
56,using,588
56,using,481
56,using,686
56,using,689
56,inheritance,242
56,using,963
56,inheritance,1154
565,see_also,538
565,using,577
567,inheritance,863
567,perspective_on,1404
57,using,587
57,precedes,56
57,using,963
573,subframe,574
573,subframe,380
573,subframe,575
574,precedes,380
576,inheritance,574
576,precedes,161
578,inheritance,575
579,precedes,127
58,inheritance,50
58,inheritance,748
58,inheritance,315
58,inheritance,759
581,precedes,160
581,perspective_on,579
581,perspective_on,574
582,perspective_on,575
582,perspective_on,580
583,subframe,579
583,subframe,127
583,subframe,580
584,inheritance,573
584,subframe,576
584,subframe,161
584,subframe,578
585,subframe,581
585,subframe,160
585,subframe,582
585,perspective_on,573
585,perspective_on,583
585,using,565
585,inheritance,1159
