HubNode,FrameElements
ClusterHub_59,Conquering.Theme;Invading.Land;Invasion_scenario.Attacked;Repel.Defender
ClusterHub_60,Social_event.Attendee;Social_event_collective.Attendees;Social_event_individuals.Party_1
ClusterHub_61,Attend_event.Place;Colonization.New_area;Event_tourism.Attraction;Go_dancing.Dance;Go_places.Area;Go_shopping.Goods;People_by_residence.Location;Residence.Location;Temporary_stay.Location;Tourism_scenario_departure.Destination;Tourism_scenario_stay.Attraction;Tourist_activities.Activity;Tourist_departure_locality.Destination
ClusterHub_62,Arrival.Destination;Arrival_at_destination.Destination;Arrival_at_lodge.Lodge;Get_document.Destination;Planning_by_tourist.Destination;Tourism_scenario.Attraction;Tourism_scenario_departure.Origin;Tourism_scenario_preparation.Destination;Tourist_departure_locality.Source;Tourist_service_reserve.Destination
ClusterHub_63,Attracting_tourists.Attraction;Attraction_tourism.Attraction;Touring.Attraction;Tourist_potential.Attraction
ClusterHub_64,Cause_change_of_position_on_a_scale.Attribute;Cause_proliferation_in_number.Attribute;Change_of_temperature.Temperature;Change_position_on_a_scale.Attribute;Evaluative_comparison.Attribute;Position_on_a_scale.Variable;Probability.Hypothetical_event;Proliferating_in_number.Attribute;Sufficiency.Scale
ClusterHub_65,Beyond_compare.Variable;Surpassing.Attribute;Surpassing.Profiled_attribute;Surpassing.Standard_attribute
ClusterHub_66,Adding_up.Numbers;Amounting_to.Attribute
ClusterHub_67,Ambient_temperature.Attribute;Temperature.Attribute
ClusterHub_68,Age.Attribute;Dimension.Dimension;Duration_scenario.Attribute;Extreme_value.Attribute;Measurable_attributes.Attribute;Measure_scenario.Attribute;Measures.Attribute;Quantity.Quantity;Rate_description.Rate;Sound_level.Attribute;Speed_description.Attribute;Unemployment_rate.Employment
ClusterHub_69,Education_professional.Descriptor;Educational_institution_attribute.Attribute;Institutions.Descriptor;educational_institution.Descriptor;educational_institution.Level;educational_institution.Nature
ClusterHub_70,Records.Descriptor;Records.Type;Text.Descriptor;Text.Genre;Textual_Genre.Descriptor;Textuality-attributes.Attribute
ClusterHub_71,Attributes.Attribute;Color.Attribute;First_rank.Attribute;Frequency.Attribute;Gradable_artistic_quality.Attribute;Gradable_attributes.Attribute;Judgment_of_intensity.Attribute;Language__ability.capacity;Margin_of_resolution.Margin;Obviousness.Attribute;Prominence.Attribute;Quality.Attribute;Scope.Attribute;Sharpness.Attribute;Taking_time.Attribute;frm_lateralidade.fe_Lateralidade
ClusterHub_72,Performers_and_roles.Audience;Performing_arts.Audience
ClusterHub_73,Artifact_subpart.Creator;Documents.Issuer;Get_document.Issuing_agency;Law.Creator;Object_of_knowledge.Creator;Records.Recorder;Sign_agreement.Signatory;Spelling_and_pronouncing.Speaker;Text.Author;Text_creation.Author;Text_subpart.Creator;Textual_Genre.Author;Topic.Communicator
ClusterHub_74,Crime_scenario.Authorities;Criminal_investigation.Investigator;Suspicion.Authority
ClusterHub_75,Armor.Danger;Being_at_risk.Harmful_event;Precariousness.Falling_event;Protecting.Danger;Rescuing.Harmful_situation;Risk_scenario.Harmful_event;Run_risk.Bad_outcome
ClusterHub_76,Access_scenario.Barrier;Change_accessibility.Portal;Having_or_lacking_access.Barrier;Openness.Barrier
ClusterHub_77,Documents.Bearer;Medium.Item;Records.Topic;Reference_text.Information;Terms_of_agreement.Party;Text.Topic;Textual_Genre.Matter
ClusterHub_78,Losing_it.Action;Mental_property.Behavior
ClusterHub_79,People_by_religion.Person;Religious_belief.Believer
ClusterHub_80,Being_in_effect.Binding_principle;Come_into_effect.Binding_principle;Enforcing.Rule;Execute_plan.Plan
ClusterHub_81,Appointing.Body;Change_of_leadership.Body;Reject_leadership.Body
ClusterHub_82,Aiming.Instrument;Cause_to_move_in_place.Bodypart_of_agent;Cause_to_move_in_place.Instrument;Ingest_substance.Delivery_device;Ingestion.Instrument;Manipulation.Bodypart_of_agent;Manipulation.Instrument;frm_eating_event.fe_Instrumento
ClusterHub_83,Cure.Body_part;Medical_interaction_scenario.Body_system;Medical_professionals.Body_system;Medical_specialties.Body_system;Recovery.Body_part
ClusterHub_84,Cause_bodily_experience.Body_part;Perception_active.Body_part;Perception_body.Body_part;Perception_experience.Body_part;Punctual_perception.Body_part
ClusterHub_85,Cause_harm.Body_part;Corporal_punishment.Body_part;Experience_bodily_harm.Body_part;Toxic_substance.Body_part
ClusterHub_86,Accoutrements.Body_location;Body_decoration.Body_location;Body_mark.Attachment;Body_movement.Body_part;Body_parts.Body_part;Medical_conditions.Body_part;Wearing.Body_part
ClusterHub_87,Distant_operated_IED.Bomb;Improvised_explosive_device.Bomb;Victim_operated_IED.Bomb
ClusterHub_88,Borrowing.Borrower;Lending.Borrower;Pre_transfer.Recipient;Temporary_transfer_scenario.Borrower;Transfer_scenario.Recipient
ClusterHub_89,Bounded_region.Boundary;Region_with_portal.Boundary
ClusterHub_90,Assigned_location.Station;Biological_area.Locale;Boundary.Entity;Bounded_entity.Bounded_area;Containers.Container;Containing.Container;Fullness.Container;Isolated_places.Place;Locale.Locale;Locale_by_characteristic_entity.Locale;Locale_by_collocation.Profiled_region;Locale_by_ownership.Locale;Locale_by_use.Locale;Relational_location.Profiled_region;Shapes.Shape
ClusterHub_91,Accommodation.Lodge;Businesses.Business;Dining.Establishment
ClusterHub_92,Commerce_goods-transfer.Buyer;Commerce_money-transfer.Seller;Commerce_scenario.Buyer;Commercial_transaction.Buyer;Expensiveness.Payer;Having_commercial_agreement.Party_1;Post_receiving.Recipient;Post_transfer.Recipient;Product_delivery.Purchaser;Receiving.Recipient;Transfer.Recipient
ClusterHub_93,Commerce_buy.Buyer;Renting.Lessee;Shopping.Shopper
ClusterHub_94,Cause_benefit_or_detriment.Beneficiary;Commerce_pay.Seller;Commerce_sell.Buyer;Giving.Recipient;Lose_possession.Recipient;Offering.Potential_recipient;Post_giving.Recipient;Renting_out.Lessor;Submitting_documents.Authority;Supply.Recipient;Surrendering_possession.Recipient
ClusterHub_95,Commerce_pay.Buyer;Earnings_and_losses.Earner
ClusterHub_96,Amassing.Source;Commerce_collect.Buyer;Corporal_punishment.Evaluee;Earnings_and_losses.Buyer;Execution.Executed;Fining.Payer;Getting.Source;Kidnapping.Source;Revenge.Offender;Rewards_and_punishments.Evaluee
ClusterHub_97,Being_in_captivity.Theme;Imprisonment.Prisoner;Inhibit_motion_scenario.Theme;Inhibit_movement.Theme;Prison.Inmates;Taking_captive.Captive
ClusterHub_98,Bringing.Carrier;Convoy.Vehicles
ClusterHub_99,Jury_deliberation.Case;Legal_rulings.Case;Trial.Case;Verdict.Case
ClusterHub_100,Adducing.Role;Being_in_category.Category;Categorization.Category;Communicate_categorization.Category
ClusterHub_101,Biological_classification.Member;Delimitation_of_diversity.Item;Diversity.Group;Type.Category
ClusterHub_102,Burying.Cause;Cause_fluidic_motion.Cause;Cause_motion.Cause;Dispersal.Cause;Emptying.Cause;Filling.Cause;Fluidic_motion.Explanation;Placing.Cause;Removing.Cause
ClusterHub_103,Cause_change_of_position_on_a_scale.Cause;Cause_proliferation_in_number.Cause
ClusterHub_104,Cause_bodily_experience.Cause;Cause_harm.Cause;Toxic_substance.Toxic_substance;Violence.Cause
ClusterHub_105,Cause_to_burn.Cause;Setting_fire.Cause
ClusterHub_106,Being_wet.Explanation;Cause_to_be_wet.Cause
