superFE,relation,subFE
5045,inheritance,7519
5045,inheritance,1535
5045,inheritance,2281
5045,inheritance,3617
5045,inheritance,3248
5045,inheritance,3761
5045,inheritance,3489
5045,inheritance,2584
5045,inheritance,4628
5045,inheritance,955
5045,inheritance,2350
5045,inheritance,4953
5045,inheritance,6665
5045,inheritance,7841
5045,inheritance,3171
5045,inheritance,3354
5045,inheritance,8162
5045,inheritance,8331
5045,inheritance,7987
5045,inheritance,9639
5045,inheritance,9811
5045,inheritance,10824
5045,inheritance,10868
5045,inheritance,10880
5045,inheritance,10893
5045,inheritance,9847
5045,inheritance,9955
5045,inheritance,13530
5045,inheritance,13523
5045,inheritance,10591
5140,inheritance,5147
5140,using,9662
7631,inheritance,9279
7631,perspective_on,4940
7631,inheritance,13189
8788,perspective_on,11237
9279,perspective_on,953
11646,using,12244
11761,subframe,11758
11761,subframe,11966
6027,inheritance,6842
3707,inheritance,2501
5534,using,6206
5534,using,4950
6425,using,6150
6435,perspective_on,6425
6435,perspective_on,5534
5253,inheritance,57
5253,inheritance,7957
5253,perspective_on,2
7957,inheritance,7967
7967,inheritance,7941
5914,using,6891
5924,see_also,2631
5834,inheritance,10206
11435,precedes,11450
11435,subframe,11795
11435,subframe,11823
3986,using,3945
4851,inheritance,6426
4851,using,4860
10748,subframe,10755
10755,precedes,9940
10755,precedes,3873
7636,causative_of,4846
1043,inheritance,6999
1043,inheritance,4733
1220,inheritance,10195
4165,inheritance,6476
4165,inheritance,8239
4165,using,5386
4165,using,6533
4165,using,5392
4165,using,7552
8239,using,7577
44,inheritance,2760
44,inheritance,3524
44,inheritance,764
44,inheritance,671
44,inheritance,3342
44,using,6648
44,using,6965
44,using,7427
44,using,2017
698,using,5956
764,inheritance,608
764,inheritance,7328
764,inheritance,3315
764,inheritance,7515
5956,inheritance,7328
7328,subframe,7352
11089,inheritance,11109
34,inheritance,2756
34,inheritance,3508
34,inheritance,750
34,inheritance,674
34,inheritance,3339
34,see_also,2291
34,see_also,774
34,see_also,750
34,see_also,4515
34,using,774
34,using,2291
34,using,592
34,using,618
34,using,732
34,using,717
34,using,3494
34,using,6967
34,using,2022
2268,perspective_on,34
2268,perspective_on,5947
5947,inheritance,7321
5947,subframe,618
13188,perspective_on,11241
13188,perspective_on,11209
4383,using,6653
11905,using,4383
7051,inheritance,7067
7051,inheritance,10438
